windSpeedMean,outputPowerMean,outputPowerLowQuantile,outputPowerHighQuantile
0.687437058281917,0.0,0.0,0.0
1.5780778530717159,0.0,0.0,0.0
2.54390464021752,0.0,0.0,0.0
3.505044006633696,30.074762658227847,6.0,56.0
4.4904150390108155,104.43803498325269,62.0,151.0
5.490186785135927,213.15231289958632,140.0,294.0
6.470090945749343,360.2534602076125,252.0,476.0
7.470118305865112,577.459375,429.0,727.1000000000001
8.474842085817379,842.9952153110048,678.0,1003.0
9.482053400179293,1130.362892223738,980.2,1281.0
10.491541232261717,1415.078244274809,1260.6,1568.7
11.415783541540282,1651.8545994065282,1497.4,1798.4
12.459857898321948,1902.3101265822784,1761.1,2044.9
13.435800748480611,2013.7977528089887,1950.6,2050.0
14.405067204304705,2042.9259259259259,2027.4,2050.0
15.399637085781105,2050.0,2050.0,2050.0
16.283742352677365,2024.6666666666667,1989.2,2050.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
