windSpeedMean,outputPowerMean,outputPowerLowQuantile,outputPowerHighQuantile
0.7034845849514225,0.0,0.0,0.0
1.6009389890932575,0.0,0.0,0.0
2.561330130176104,0.0,0.0,0.0
3.519375068702152,31.85007788161994,7.0,58.0
4.502713568726611,107.24231057764442,65.0,154.0
5.490363125611147,216.4489950701555,143.0,297.4000000000001
6.4615919260741155,363.61792863359443,253.0,484.0
7.45866693429323,582.962893081761,432.0,735.0
8.465579098704733,851.5751196172249,686.0,1010.0
9.475458081642586,1138.8774104683196,987.5,1295.0
10.480888274624004,1425.1779497098646,1267.6,1575.0
11.404094577338432,1661.3063063063064,1501.2,1809.8
12.471764278036481,1914.7324840764331,1764.2,2050.0
13.460800363620475,2018.7738095238096,1951.6,2050.0
14.450730438293155,2043.8260869565217,2042.8,2050.0
15.44796140071425,2041.5555555555557,2034.8,2050.0
16.33066634121981,2050.0,2050.0,2050.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
